name,stars,text,timeSince,openStatus,key
Michelle Vasquez,5.0,Good. Gets really busy during lunch so its totally normal. Could be a little cleaner. But good food!,a year ago,Open,209
la hall,5.0,"Tasty ('caus you can pick all the toppings yourself) fast, and convenient. Price is competitive too.",a year ago,Open,209
Melissa Harvey,5.0,Whats not to love about Blaze! Great food. Great service. Great Prices. The sodas are amazing too!,2 years ago,Open,209
The Alchemist,5.0,"Great place! Delicious and fast pizza. The soft drinks were very delicious too, different flavors and great ambiance.",a year ago,Open,209
Greg Santangelo,5.0,Had fast and friendly service during the busy lunch rush and pizza was amazing. Great options of toppings for any craving,a year ago,Open,209
Joshua Wu,5.0,10/10 would white cream top again,9 months ago,Open,209
Rebeca Masis,4.0,Nice pizza...free drink downloading the app,a year ago,Open,209
David Brown,5.0,"Delicious every time. Great for groups or visiting family because everyone can get their own pizza with whatever they want on it. Even though I'm not vegan, the vegan options are so easy and tasty I go for them anyway. Fast and friendly …More",2 years ago,Open,209
Krista Ricci,5.0,"Delicious! Parking here is scarce but there is a parking structure 1 min. Away other than that. Clean, friendly, and good pizza the way you want it!",2 years ago,Open,209
Louie Tran,5.0,"There's a reason why I am here almost every Friday. Build your own pizza with quality ingredients and it gets done fast. Staff is super friendly, love the vibe and the pizza always comes out great. Gluten Free options too. Skip those other knockoffs like Pieology or Pizza Rev. This is the real deal!",3 years ago,Open,209
Michael Hunter,4.0,"my only complaint was the noisy atmosphere,  i could have go during a rush period but I am not for sure as I have never been to this location before. That being said, the food is the same quality pizza. the staff is friendly. Blaze Pizza offer great pizzas that can fit most if not all diets",2 years ago,Open,209
Tom Paschall,5.0,"Quick,  easy, quality",a month ago,Open,209
Niles Livingston Sr,1.0,"Rude... because I was the only POOR ( working poor ) man is the line; I was ""treated poorly""! ...But THAT happens to a EVERYWHERE. ... Psalm 37:16; Rev. 2:8; James 2:1-26 ...Phil. 3:2, 18-19; I Tim. 6:3-10 ...I Cor. 15:33-34!",a year ago,Open,209
Konrad Pilch,5.0,"This rating of 5/5 is based on the service and food you receive for the price. You never end up waiting long in line - they are quite good at making the pizzas fast. Unlike most pizza places do NOT choose a pre-made recipe, but ask for a …More",a year ago,Open,209
Thomas Conrad,5.0,As always ..yummy,10 months ago,Open,209
Abdullah F,5.0,Delecious pizza. Highly recommended,a year ago,Open,209
Jennifer Kim,4.0,This place is clean and has nice staff. They kindly wait as you make your decision for toppings on the pizza and smiles as they all you to wait for your creation to be fire grilled. They also offer bottled wine and beer along with different types of lemonade.,2 years ago,Open,209
M Pet,5.0,Long line at lunch but it moved quickly. Staff was very friendly and called me by name as I went station to station. I got mine to go and couldn't believe how fast it came out. Got back to my desk and enjoyed it thoroughly. Ingredients were …More,2 years ago,Open,209
Zach Ludlow,2.0,This location doesn’t answer the phone. Every delivery order I have placed has taken over an hour. Pizza arrives cold. This is not acceptable.,a year ago,Open,209
Lynda La Rocco,5.0,"My Vegie pizza was awesome! I added  artichokes and bell peppers, then drifted off to heaven. I'm a fan !!♡",a year ago,Open,209
Doug Beaulieu,4.0,"Long but fast line, good pizza. Crowded but a good crowd.",a year ago,Open,209
Jon Price,5.0,"Excellent concept.

Truely personal pizza. …More",a year ago,Open,209
Dawg Suki,5.0,"Always 5 stars, but today was really special. Had the cauliflower crust for the first time. It is really good. Healthy too.",a year ago,Open,209
Magra16,3.0,Too bad that if you want to buy the large pizza at their location you have to order it online only!,8 months ago,Open,209
Stephen Stubbs,5.0,"First time I came with my mom. Order the garlic knots, one hot link pizza and one meat eater...
KILLER....best I have had in Pasadena",a year ago,Open,209
Daniel Soto,5.0,Very fast and great food,9 months ago,Open,209
Harry How,5.0,This is a growing national chain that everyone will eventually hear of cause the concept and especially the pizza is exceptionally good.  It is a make your own thin crust pizza place where your pizza is cooked in minutes while you wait (about 5 minutes).  Clean and modern decor.  Great for families too.,3 years ago,Open,209
Rolfe Jones,4.0,You can make a pizza the way you like it and its pretty quick in getting to you,a year ago,Open,209
Oliver Mueller,4.0,Fast and can be healthy if you make it that way,4 years ago,Open,209
Marco Hierro,5.0,"Affordable, delicious and quick! The best pizza to get locally. The variety is astounding as well.",2 years ago,Open,209
kevin baltz,5.0,I ordered my pizza exactly as I wanted it to be. Someone in line won $10 worth of points and paid for mine lunch.... anonymously. I was told it happens frequently.,a year ago,Open,209
Renee Arias,4.0,"Always good for my Build Your Own: normal thin crust, white sauce, drizzle spicy red. Cheese: shredded mozzarella and goat. Meat: Italian sausage. Vegetables: mushrooms, roasted garlic. Fire it. Add pesto and spicy pepper. Perfect!",4 years ago,Open,209
Noah Creighton,5.0,"Best pizza experience in the business. Great environment, customer service, and the pizza is delicious. I can get the same amount of pizza for $7 then I get at MOD for $11. Everything about the pizza was fantastic, especially the crust and red sauce. Will definitely be going back soon with my friends.",4 years ago,Open,209
Jimmy H,4.0,Super interesting place. Great food.  Build your own pizza is my way to go.  People are awesome there.  Place is jumpin and open late.,2 years ago,Open,209
